model,mode,language,strategy,accuracy
google__gemma-2-9b-it,adversarial,en,DBS,0.6331456154465004
meta-llama__Llama-3.1-8B-Instruct,adversarial,en,DBS,0.580048270313757
google__gemma-2-9b-it,adversarial,en,T (0.1),0.6532582461786002
meta-llama__Llama-3.1-8B-Instruct,adversarial,en,T (0.1),0.5575221238938053
google__gemma-2-9b-it,adversarial,en,T (0.7),0.5760257441673371
meta-llama__Llama-3.1-8B-Instruct,adversarial,en,T (0.7),0.5156878519710378
google__gemma-2-9b-it,adversarial,en,Top-$k$,0.5575221238938053
meta-llama__Llama-3.1-8B-Instruct,adversarial,en,Top-$k$,0.46259050683829445
google__gemma-2-9b-it,adversarial,en,Top-$p$,0.6596942880128721
meta-llama__Llama-3.1-8B-Instruct,adversarial,en,Top-$p$,0.5599356395816573
google__gemma-2-9b-it,adversarial,sw,BS,0.5189058728881738
meta-llama__Llama-3.1-8B-Instruct,adversarial,sw,BS,0.27031375703942073
google__gemma-2-9b-it,adversarial,sw,DBS,0.5108608205953339
meta-llama__Llama-3.1-8B-Instruct,adversarial,sw,DBS,0.22928399034593724
google__gemma-2-9b-it,adversarial,sw,T (0.1),0.5092518101367659
meta-llama__Llama-3.1-8B-Instruct,adversarial,sw,T (0.1),0.1914722445695897
google__gemma-2-9b-it,adversarial,sw,T (0.7),0.4424778761061947
meta-llama__Llama-3.1-8B-Instruct,adversarial,sw,T (0.7),0.1423974255832663
google__gemma-2-9b-it,adversarial,sw,Top-$k$,0.39420756234915527
meta-llama__Llama-3.1-8B-Instruct,adversarial,sw,Top-$k$,0.1255028157683025
google__gemma-2-9b-it,adversarial,sw,Top-$p$,0.4923572003218021
meta-llama__Llama-3.1-8B-Instruct,adversarial,sw,Top-$p$,0.19710378117457764
google__gemma-2-9b-it,adversarial,te,BS,0.40386162510056317
meta-llama__Llama-3.1-8B-Instruct,adversarial,te,BS,0.03378921962992759
google__gemma-2-9b-it,adversarial,te,DBS,0.39823008849557523
meta-llama__Llama-3.1-8B-Instruct,adversarial,te,DBS,0.04022526146419952
google__gemma-2-9b-it,adversarial,te,T (0.1),0.37811745776347544
meta-llama__Llama-3.1-8B-Instruct,adversarial,te,T (0.1),0.030571198712791632
google__gemma-2-9b-it,adversarial,te,T (0.7),0.33226065969428803
meta-llama__Llama-3.1-8B-Instruct,adversarial,te,T (0.7),0.03781174577634755
google__gemma-2-9b-it,adversarial,te,Top-$k$,0.28720836685438456
meta-llama__Llama-3.1-8B-Instruct,adversarial,te,Top-$k$,0.036202735317779566
google__gemma-2-9b-it,adversarial,te,Top-$p$,0.37650844730490746
meta-llama__Llama-3.1-8B-Instruct,adversarial,te,Top-$p$,0.029766693483507644
google__gemma-2-9b-it,adversarial,zh,BS,0.4561544650040225
meta-llama__Llama-3.1-8B-Instruct,adversarial,zh,BS,0.31295253419147223
google__gemma-2-9b-it,adversarial,zh,DBS,0.4497184231697506
meta-llama__Llama-3.1-8B-Instruct,adversarial,zh,DBS,0.27674979887369267
google__gemma-2-9b-it,adversarial,zh,T (0.1),0.4344328238133548
meta-llama__Llama-3.1-8B-Instruct,adversarial,zh,T (0.1),0.28881737731295254
google__gemma-2-9b-it,adversarial,zh,T (0.7),0.37570394207562346
meta-llama__Llama-3.1-8B-Instruct,adversarial,zh,T (0.7),0.2670957361222848
google__gemma-2-9b-it,adversarial,zh,Top-$k$,0.33789219629927597
meta-llama__Llama-3.1-8B-Instruct,adversarial,zh,Top-$k$,0.251005631536605
google__gemma-2-9b-it,adversarial,zh,Top-$p$,0.43845534995977475
meta-llama__Llama-3.1-8B-Instruct,adversarial,zh,Top-$p$,0.2751407884151247
google__gemma-2-9b-it,normal,de,Greedy,0.7409493161705552
google__gemma-2-9b-it,normal,en,Greedy,0.7795655671761866
google__gemma-2-9b-it,normal,sw,Greedy,0.6218825422365245
google__gemma-2-9b-it,normal,zh,Greedy,0.5325824617860017
google__gemma-2-9b-it,normal,te,Greedy,0.48431214802896216
meta-llama__Llama-3.1-8B-Instruct,normal,de,Greedy,0.581657280772325
meta-llama__Llama-3.1-8B-Instruct,normal,en,Greedy,0.7642799678197908
meta-llama__Llama-3.1-8B-Instruct,normal,sw,Greedy,0.333869670152856
meta-llama__Llama-3.1-8B-Instruct,normal,zh,Greedy,0.40627514078841515
meta-llama__Llama-3.1-8B-Instruct,normal,te,Greedy,0.0917135961383749
google__gemma-2-9b-it,adversarial,de,Greedy,0.6082059533386966
google__gemma-2-9b-it,adversarial,en,Greedy,0.6460176991150443
google__gemma-2-9b-it,adversarial,sw,Greedy,0.49637972646822204
google__gemma-2-9b-it,adversarial,zh,Greedy,0.4336283185840708
google__gemma-2-9b-it,adversarial,te,Greedy,0.36444086886564764
meta-llama__Llama-3.1-8B-Instruct,adversarial,de,Greedy,0.37650844730490746
meta-llama__Llama-3.1-8B-Instruct,adversarial,en,Greedy,0.5615446500402252
meta-llama__Llama-3.1-8B-Instruct,adversarial,sw,Greedy,0.19710378117457764
meta-llama__Llama-3.1-8B-Instruct,adversarial,zh,Greedy,0.27835880933226065
meta-llama__Llama-3.1-8B-Instruct,adversarial,te,Greedy,0.03378921962992759
